basis,dimension,l2_error,sigma_error,case_name
active PTDF,1,0.28223247881895985,0.4442844978351448,pglib_opf_case300_ieee
active PTDF,2,0.28101713726301336,0.44626808689813957,pglib_opf_case300_ieee
active PTDF,3,0.26678925866304964,0.4364878380492717,pglib_opf_case300_ieee
active PTDF,4,0.2521373204054939,0.42965969293049133,pglib_opf_case300_ieee
active PTDF,5,0.25132111096381976,0.4292908458851289,pglib_opf_case300_ieee
active PTDF,6,0.24800201790200593,0.42879338105182907,pglib_opf_case300_ieee
active PTDF,7,0.24747499109289195,0.42844033233016426,pglib_opf_case300_ieee
active PTDF,8,0.24726370587185983,0.4284076609251991,pglib_opf_case300_ieee
active PTDF,9,0.2472195414769871,0.42844374558244025,pglib_opf_case300_ieee
active PTDF,10,0.22711821840010832,0.3696810631545983,pglib_opf_case300_ieee
active PTDF,11,0.0005236240984106243,0.0012539081411892042,pglib_opf_case300_ieee
active PTDF,12,1.086225622290856e-13,2.944487529988851e-14,pglib_opf_case300_ieee
graph Fourier,1,0.29472870407366875,0.44834258732143706,pglib_opf_case300_ieee
graph Fourier,2,0.2944254256835427,0.4473285881886057,pglib_opf_case300_ieee
graph Fourier,3,0.26890102209050665,0.43032652938723315,pglib_opf_case300_ieee
graph Fourier,4,0.25801171474587836,0.4291231675820268,pglib_opf_case300_ieee
graph Fourier,5,0.25777490899454364,0.4299788447805652,pglib_opf_case300_ieee
graph Fourier,6,0.25362706087372094,0.42288589880106997,pglib_opf_case300_ieee
graph Fourier,7,0.253601065493389,0.4230222451282796,pglib_opf_case300_ieee
graph Fourier,8,0.25357076505694937,0.42329852914373156,pglib_opf_case300_ieee
graph Fourier,9,0.2508372175924391,0.42380966873117815,pglib_opf_case300_ieee
graph Fourier,10,0.2495391991361525,0.42372382587729124,pglib_opf_case300_ieee
graph Fourier,11,0.2495391481554899,0.4237181842871314,pglib_opf_case300_ieee
graph Fourier,12,0.2485139223240454,0.42350977982218596,pglib_opf_case300_ieee
graph Fourier,13,0.24726110412450686,0.42521231065609394,pglib_opf_case300_ieee
graph Fourier,14,0.2472609704636249,0.4252072858821526,pglib_opf_case300_ieee
graph Fourier,15,0.24725651009144226,0.4251745816729505,pglib_opf_case300_ieee
graph Fourier,16,0.24671322389877734,0.42588607227235387,pglib_opf_case300_ieee
graph Fourier,17,0.24671300657207937,0.4258870563566944,pglib_opf_case300_ieee
graph Fourier,18,0.24585582211315707,0.42678187498957415,pglib_opf_case300_ieee
graph Fourier,19,0.24537173127368514,0.426905129310835,pglib_opf_case300_ieee
graph Fourier,20,0.24537137321938393,0.4269062822219142,pglib_opf_case300_ieee
graph Fourier,21,0.24523351990865097,0.42801941126280485,pglib_opf_case300_ieee
graph Fourier,22,0.24522681698144935,0.4280068879211681,pglib_opf_case300_ieee
graph Fourier,23,0.24313210674591038,0.42894259182012173,pglib_opf_case300_ieee
graph Fourier,24,0.24307107364654826,0.42898667536653773,pglib_opf_case300_ieee
graph Fourier,25,0.24235610123238388,0.4289604136315005,pglib_opf_case300_ieee
graph Fourier,26,0.24232976385811117,0.42893975428343717,pglib_opf_case300_ieee
graph Fourier,27,0.2423295089407666,0.4289423020422286,pglib_opf_case300_ieee
graph Fourier,28,0.2423269658552675,0.4289474571574378,pglib_opf_case300_ieee
graph Fourier,29,0.24232695358969567,0.42894653863010823,pglib_opf_case300_ieee
graph Fourier,30,0.24231773998227402,0.4289481873636287,pglib_opf_case300_ieee
graph Fourier,31,0.2422704445313272,0.428961601468926,pglib_opf_case300_ieee
graph Fourier,32,0.2422702732496297,0.4289634378533627,pglib_opf_case300_ieee
graph Fourier,33,0.24226691381524648,0.42897455690111547,pglib_opf_case300_ieee
graph Fourier,34,0.24225746357300623,0.4289729636995735,pglib_opf_case300_ieee
graph Fourier,35,0.2418315259183414,0.42879166671264995,pglib_opf_case300_ieee
graph Fourier,36,0.24173588566962037,0.4287377046973039,pglib_opf_case300_ieee
graph Fourier,37,0.2310335373402157,0.4219451841789686,pglib_opf_case300_ieee
graph Fourier,38,0.22553879525744563,0.41948381600450163,pglib_opf_case300_ieee
graph Fourier,39,0.21736646827986988,0.4196561269637254,pglib_opf_case300_ieee
graph Fourier,40,0.21480607850865133,0.4199537949677504,pglib_opf_case300_ieee
graph Fourier,41,0.21424335501803354,0.4198738727413004,pglib_opf_case300_ieee
graph Fourier,42,0.21379139983503753,0.41984825918180985,pglib_opf_case300_ieee
graph Fourier,43,0.21359488432208,0.4198326892461385,pglib_opf_case300_ieee
graph Fourier,44,0.2134140975034337,0.41993852296140183,pglib_opf_case300_ieee
graph Fourier,45,0.21339917914499715,0.41992364968509,pglib_opf_case300_ieee
graph Fourier,46,0.21339915350075192,0.4199231527676988,pglib_opf_case300_ieee
graph Fourier,47,0.2131913894760044,0.4199363652504068,pglib_opf_case300_ieee
graph Fourier,48,0.21250263177441175,0.4188722702951043,pglib_opf_case300_ieee
graph Fourier,49,0.21246668497860627,0.4192471682897371,pglib_opf_case300_ieee
graph Fourier,50,0.19903410706170216,0.3677686902379202,pglib_opf_case300_ieee
