basis,dimension,l2_error,sigma_error,case_name
active PTDF,1,0.28223247881895985,0.4442844978351448,pglib_opf_case300_ieee
active PTDF,2,0.28101713726301336,0.44626808689813957,pglib_opf_case300_ieee
active PTDF,3,0.26678925866304964,0.4364878380492717,pglib_opf_case300_ieee
active PTDF,4,0.2521373204054939,0.42965969293049133,pglib_opf_case300_ieee
active PTDF,5,0.25132111096381976,0.4292908458851289,pglib_opf_case300_ieee
active PTDF,6,0.24800201790200593,0.42879338105182907,pglib_opf_case300_ieee
active PTDF,7,0.24747499109289195,0.42844033233016426,pglib_opf_case300_ieee
active PTDF,8,0.24726370587185983,0.4284076609251991,pglib_opf_case300_ieee
active PTDF,9,0.2472195414769871,0.42844374558244025,pglib_opf_case300_ieee
active PTDF,10,0.22711821840010832,0.3696810631545983,pglib_opf_case300_ieee
active PTDF,11,0.0005236240984106243,0.0012539081411892042,pglib_opf_case300_ieee
active PTDF,12,1.086225622290856e-13,2.944487529988851e-14,pglib_opf_case300_ieee
