case_name,included,exclusion_reason,buses,branches,generators,line_limit_scale,active_lines,active_generator_constraints,feature_rank,selected_buses_for_exact_recovery,buses_in_full_coordinate_audit,bus_selection_reduction,noiseless_recovery_error,nominal_emissions_tph,emissions_change_std_tph,active_set_margin,exit_probability_bound,empirical_exit_probability,kkt_condition,runtime_seconds
pglib_opf_case14_ieee,true,,14,20,5,0.6,1,6,2,2,14,7.0,1.7992904827149165e-15,133.98070569030853,0.5947314094962128,7.860832558288843,3.818459416599607e-14,0.0,515.6763802342415,21.0770001411438
pglib_opf_case30_ieee,true,,30,41,6,1.0,1,8,2,2,30,15.0,7.826281639580891e-15,146.60283086310372,0.5622730355278337,26.654881550592865,5.2558102346354586e-155,0.0,42.49933715325715,0.2560000419616699
pglib_opf_case57_ieee,true,,57,80,7,0.9,1,8,2,2,57,28.5,4.591854281820049e-14,1009.1397492288055,2.1775799968297544,0.6956912920215166,0.785061526238426,0.236,117.96657176041005,0.41100001335144043
pglib_opf_case73_ieee_rts,false,zero operating emissions under direct factors,73,120,99,0.6,4,86,5,5,73,14.6,0.0,0.0,0.0,0.22269395883109422,1.0,0.581,5.1886213765569515e9,0.630000114440918
pglib_opf_case118_ieee,true,,118,186,54,1.0,3,85,4,4,118,29.5,6.688472415369762e-15,3093.0803306058806,3.767526572128556,1.5516639469857159,0.4356849522557009,0.0795,6252.397719594937,1.5150001049041748
pglib_opf_case162_ieee_dtc,true,,162,284,12,1.0,7,4,8,8,162,20.25,9.100788620415353e-15,3319.2150622251925,13.580694042915283,3.121263458763217,0.0076646012552505265,0.0,7624.441410432515,1.0959999561309814
pglib_opf_case179_goc,true,,179,263,29,1.0,4,24,5,5,179,35.8,1.1471775007653408e-14,15795.609008642274,14.200797136745436,1.1173792363464972,0.5962526309015989,0.143,1033.4045084309437,1.0709998607635498
pglib_opf_case197_snem,false,zero operating emissions under direct factors,197,286,35,0.6,2,6,3,3,197,65.66666666666667,0.0,0.0,0.0,0.0025089247279625705,1.0,0.93,515.4992403935183,1.4909999370574951
pglib_opf_case240_pserc,true,,240,448,143,1.0,13,131,12,12,240,20.0,5.075681491708923e-14,101623.454416307,187.531053293899,1.4371698531886694,0.9077080804620499,0.1655,456558.3408873963,5.983999967575073
pglib_opf_case300_ieee,true,,300,411,69,1.0,11,69,12,12,300,25.0,1.2018529364801177e-13,14047.084044775987,26.022877224956645,0.7908416368202947,0.7314597521498941,0.222,17713.64710338602,2.0510001182556152
pglib_opf_case500_goc,false,zero operating emissions under direct factors,500,728,171,1.0,1,163,2,2,500,250.0,0.0,0.0,0.0,0.11559930272123169,1.0,NaN,1.358062715093665e10,0.3190000057220459
pglib_opf_case588_sdet,true,,588,686,95,1.0,11,83,12,12,588,49.0,1.198181183872299e-13,5784.086136933754,13.607860325630147,0.21056883509810878,1.0,NaN,61731.15260002919,0.4849998950958252
pglib_opf_case793_goc,false,zero operating emissions under direct factors,793,913,97,1.0,10,81,11,11,793,72.0909090909091,0.0,0.0,0.0,1.4393148706135042,0.4113706909522791,NaN,1.022380372940793e10,0.5329999923706055
pglib_opf_case1354_pegase,true,,1354,1991,260,1.0,14,245,15,15,1354,90.26666666666667,2.4223003896577204e-14,41483.19272595912,29.691526353046807,2.3586302288404846,0.06194174404962949,NaN,138447.58475201935,2.0339999198913574
