uncertainty_scale,exit_bound_method,closest_kappa,empirical_exit,exit_bound,failure_probability,risk_standard_deviation,empirical_quantile,linear_quantile,fixed_region_threshold,switching_aware_threshold,gaussian_fixed_region_threshold,gaussian_switching_aware_threshold,gaussian_violation_rate,certificate_available,fixed_violation_rate,fixed_violation_lower,fixed_violation_upper,switching_violation_rate,switching_violation_lower,switching_violation_upper,fixed_violation_switch_fraction,maximum_inside_linearization_error,median_outside_linearization_error,samples,dispatch_solves,inside_validation_solves,selected_query_threshold_median,selected_query_threshold_q10,selected_query_threshold_q90,learning_failure_probability,certificate_observations,certificate_dispatch_runs,load_forecast_std_percent,case_name,demand_correlation
0.2,gaussian,3.4784564601075822,0.0,0.0002521551786297178,0.05,0.435515999365951,0.6944506003046518,0.6944506003046518,1.0660329071587948,1.0669320936760769,0.7163600711524793,0.717427007209662,0.0446,true,0.0062,0.0043713883985244135,0.008786794042414002,0.0062,0.0043713883985244135,0.008786794042414002,0.0,0.000130872796546418,NaN,5000,100,100,1.1513021827186458,1.140525293140741,1.1635250484241937,0.005,20,40,0.2,pglib_opf_case57_ieee,0.0
0.3,gaussian,2.3189709734050554,0.0072,0.010198305127725758,0.05,0.6532739990489264,1.0416759004569776,1.0416759004569776,1.5990493607381921,1.6588132675649057,1.0745401067287188,1.145184058171083,0.0358,true,0.0064,0.004537188108410646,0.009020687251749749,0.0056,0.003877382638215079,0.008081721045057406,0.4375,9.780799366066427e-5,0.02070513240659616,5000,136,100,1.7954619393328541,1.7786553221371588,1.8145235640681312,0.005,20,40,0.3,pglib_opf_case57_ieee,0.0
0.4,gaussian,1.7392282300537911,0.0366,0.0409973128568079,0.05,0.871031998731902,1.4019037922195352,1.3889012006093036,2.1320658143175897,2.673438912292542,1.4327201423049587,2.0604328029885934,0.0106,true,0.0086,0.0063911756315949385,0.011563321840007208,0.0012,0.0005500831677591556,0.002615776292629832,0.8372093023255814,7.096005995266275e-5,0.05211974685573395,5000,283,100,3.069512562356001,3.040780055426857,3.102100218658863,0.005,20,40,0.4,pglib_opf_case57_ieee,0.0
0.5,gaussian,1.3913825840430332,0.0732,0.08205472148353585,0.05,1.0887899984148772,1.7789152600390878,1.7361265007616287,2.665082267896987,NaN,1.790900177881198,NaN,NaN,false,0.0098,0.007421083157823486,0.012931571829110523,NaN,NaN,NaN,0.9387755102040817,8.917100058258853e-5,0.0731821101988458,5000,466,100,NaN,NaN,NaN,0.005,20,40,0.5,pglib_opf_case57_ieee,0.0
0.7,gaussian,0.9938447028878807,0.152,0.16014923945932347,0.05,1.524305997780828,2.5730229131632907,2.430577101066281,3.7311151750557814,NaN,2.507260249033677,NaN,NaN,false,0.0116,0.008984523450010988,0.014965367809920811,NaN,NaN,NaN,0.9827586206896551,5.87043272625154e-5,0.11394447992709145,5000,860,100,NaN,NaN,NaN,0.005,20,40,0.7,pglib_opf_case57_ieee,0.0
1.0,gaussian,0.6956912920215166,0.231,0.24331109005022716,0.05,2.1775799968297544,3.7693610390900956,3.4722530015232573,5.330164535793974,NaN,3.581800355762396,NaN,NaN,false,0.0134,0.010565931089532108,0.01698119644339749,NaN,NaN,NaN,1.0,0.00025195558621007863,0.1961896340178404,5000,1255,100,NaN,NaN,NaN,0.005,20,40,1.0,pglib_opf_case57_ieee,0.0
0.2,gaussian,2.2539283165598327,0.0104,0.01210033897418702,0.05,0.7816306867610059,1.2381048639618268,1.2381048639618268,1.913234036282122,1.999756892725027,1.2856680700554102,1.387861305282503,0.036,true,0.0072,0.005205395997454866,0.009951251039593437,0.0054,0.0037139414817381113,0.007845469282312398,0.75,5.7483724912765766e-5,0.03483689866709083,5000,152,100,2.166581332220124,2.146823791990665,2.1900366500536688,0.005,20,40,0.2,pglib_opf_case57_ieee,0.3
0.3,gaussian,1.5026188777065552,0.064,0.06646867626432973,0.05,1.1724460301415085,1.8975563156004889,1.85715729594274,2.8698510544231826,NaN,1.9285021050831148,NaN,NaN,false,0.0096,0.007248675096817013,0.012704286970895016,NaN,NaN,NaN,1.0,7.128053200511353e-5,0.05802958635279243,5000,420,100,NaN,NaN,NaN,0.005,20,40,0.3,pglib_opf_case57_ieee,0.3
0.4,gaussian,1.1269641582799164,0.122,0.1298788175863574,0.05,1.5632613735220118,2.57935999961469,2.4762097279236537,3.826468072564244,NaN,2.5713361401108203,NaN,NaN,false,0.0108,0.008287189765234891,0.014063929817809002,NaN,NaN,NaN,1.0,8.002206398610712e-5,0.10396876831799329,5000,710,100,NaN,NaN,NaN,0.005,20,40,0.4,pglib_opf_case57_ieee,0.3
0.5,gaussian,0.9015713266239331,0.1732,0.1836423141839974,0.05,1.9540767169025144,3.2771895141781013,3.0952621599045673,4.783085090705304,NaN,3.214170175138525,NaN,NaN,false,0.011,0.008461172335733187,0.014289640166532683,NaN,NaN,NaN,1.0,0.0001128456808654893,0.13729292103068824,5000,966,100,NaN,NaN,NaN,0.005,20,40,0.5,pglib_opf_case57_ieee,0.3
0.7,gaussian,0.643979519017095,0.2502,0.2597943575603764,0.05,2.73570740366352,4.704337929025875,4.333367023866393,6.696319126987426,NaN,4.499838245193935,NaN,NaN,false,0.012,0.009334535211612843,0.015414741886762912,NaN,NaN,NaN,1.0,0.0001562232068163527,0.20946464438360923,5000,1351,100,NaN,NaN,NaN,0.005,20,40,0.7,pglib_opf_case57_ieee,0.3
1.0,gaussian,0.45078566331196657,0.317,0.32607201760253646,0.05,3.9081534338050288,6.84506158889614,6.190524319809135,9.566170181410609,NaN,6.42834035027705,NaN,NaN,false,0.0128,0.010037035568302636,0.01631101320696103,NaN,NaN,NaN,1.0,4.6130473894123725e-5,0.33003105591341786,5000,1685,100,NaN,NaN,NaN,0.005,20,40,1.0,pglib_opf_case57_ieee,0.3
0.2,gaussian,1.9139901763381566,0.0248,0.027810705487551334,0.05,0.944348855212762,1.5085455541574186,1.5085455541574186,2.3115269174040955,2.606178833807157,1.5533156396041818,1.8986107581865093,0.0214,true,0.0086,0.0063911756315949385,0.011563321840007208,0.0038,0.002434138850885676,0.005927728559389015,1.0,0.0001595578962351185,0.041675611052175654,5000,224,100,2.855608002875266,2.8285662369429327,2.886268188672409,0.005,20,40,0.2,pglib_opf_case57_ieee,0.5
0.3,gaussian,1.2759934508921045,0.1,0.1009789170984016,0.05,1.416523282819143,2.345347708714639,2.2628183312361285,3.467290376106143,NaN,2.329973459406273,NaN,NaN,false,0.0102,0.007766735898799775,0.01338530492657819,NaN,NaN,NaN,1.0,6.836356682554667e-5,0.08215228074362702,5000,600,100,NaN,NaN,NaN,0.005,20,40,0.3,pglib_opf_case57_ieee,0.5
0.4,gaussian,0.9569950881690783,0.1666,0.16928486709991153,0.05,1.888697710425524,3.224025303607142,3.0170911083148373,4.623053834808191,NaN,3.1066312792083637,NaN,NaN,false,0.0112,0.008635392875722448,0.014515112545765398,NaN,NaN,NaN,1.0,0.00019495308995720606,0.12943189478986472,5000,933,100,NaN,NaN,NaN,0.005,20,40,0.4,pglib_opf_case57_ieee,0.5
0.5,gaussian,0.7655960705352628,0.2198,0.22195834164480377,0.05,2.360872138031905,4.10270196304361,3.7713638853935465,5.778817293510238,NaN,3.883289099010455,NaN,NaN,false,0.0122,0.009509858115682888,0.015639111901914846,NaN,NaN,NaN,1.0,6.584988662905467e-5,0.1709975832462467,5000,1199,100,NaN,NaN,NaN,0.005,20,40,0.5,pglib_opf_case57_ieee,0.5
0.7,gaussian,0.5468543360966164,0.286,0.2922394048630389,0.05,3.305220993244667,5.8600562173718185,5.279909439550966,8.090344210914333,NaN,5.436604738614636,NaN,NaN,false,0.0124,0.009685385642423546,0.015863277294396162,NaN,NaN,NaN,1.0,4.2767467251847435e-5,0.26323066831359343,5000,1530,100,NaN,NaN,NaN,0.005,20,40,0.7,pglib_opf_case57_ieee,0.5
1.0,gaussian,0.3827980352676314,0.346,0.3509347718975704,0.05,4.72174427606381,8.4960875988646,7.542727770787093,11.557634587020477,NaN,7.76657819802091,NaN,NaN,false,0.0128,0.010037035568302636,0.01631101320696103,NaN,NaN,NaN,1.0,0.00010358448690939159,0.4152401134528627,5000,1830,100,NaN,NaN,NaN,0.005,20,40,1.0,pglib_opf_case57_ieee,0.5
0.2,gaussian,1.6071241011090573,0.0532,0.054013573658326645,0.05,1.1458914019768243,1.8642024649260642,1.8617931953550815,2.8048520474931693,NaN,1.8848236286340863,NaN,NaN,false,0.008,0.005880681725099649,0.010874736988836564,NaN,NaN,NaN,1.0,0.00010032080409999589,0.05760059367315318,5000,366,100,NaN,NaN,NaN,0.005,20,40,0.2,pglib_opf_case57_ieee,0.8
0.3,gaussian,1.0714160674060385,0.144,0.1419911957475626,0.05,1.7188371029652365,2.9351137132977216,2.792689793032622,4.207278071239753,NaN,2.8272354429511295,NaN,NaN,false,0.0106,0.008113451615220025,0.013837975048601892,NaN,NaN,NaN,1.0,5.846718596913547e-5,0.10723277401503073,5000,820,100,NaN,NaN,NaN,0.005,20,40,0.3,pglib_opf_case57_ieee,0.8
0.4,gaussian,0.8035620505545287,0.2086,0.2108249736753717,0.05,2.2917828039536485,4.010379508655905,3.723586390710163,5.609704094986339,NaN,3.7696472572681725,NaN,NaN,false,0.0116,0.008984523450010988,0.014965367809920811,NaN,NaN,NaN,1.0,5.736956893231948e-5,0.1642379599246011,5000,1143,100,NaN,NaN,NaN,0.005,20,40,0.4,pglib_opf_case57_ieee,0.8
0.5,gaussian,0.6428496404436229,0.2606,0.260160834545786,0.05,2.8647285049420605,5.0856453040144185,4.654482988387702,7.012130118732923,NaN,4.712059071585215,NaN,NaN,false,0.0122,0.009509858115682888,0.015639111901914846,NaN,NaN,NaN,1.0,7.217216522903414e-5,0.21682681811271554,5000,1403,100,NaN,NaN,NaN,0.005,20,40,0.5,pglib_opf_case57_ieee,0.8
0.7,gaussian,0.45917831460258784,0.3226,0.32305306087888747,0.05,4.010619906918885,7.23617689473178,6.516276183742785,9.816982166226092,NaN,6.596882700219302,NaN,NaN,false,0.0132,0.010389448801641138,0.016757985812066483,NaN,NaN,NaN,1.0,7.72131508029461e-5,0.34748459349893857,5000,1713,100,NaN,NaN,NaN,0.005,20,40,0.7,pglib_opf_case57_ieee,0.8
1.0,gaussian,0.32142482022181146,0.374,0.37394569188903,0.05,5.729457009884121,10.46197428080736,9.308965976775404,14.024260237465846,NaN,9.42411814317043,NaN,NaN,false,0.014,0.011096433554600585,0.017649772735994947,NaN,NaN,NaN,1.0,0.0001111106900973935,0.5151176165583977,5000,1970,100,NaN,NaN,NaN,0.005,20,40,1.0,pglib_opf_case57_ieee,0.8
