policy,t,median_risk_ratio,q10_risk_ratio,q90_risk_ratio,median_tail_margin_ratio,q10_tail_margin_ratio,q90_tail_margin_ratio,median_lme_error,empirical_ucb_coverage
leverage,1,49782.87461304973,49782.87461303903,49782.87461306264,223.1207623979663,223.1207623979423,223.12076239799524,0.997849180859655,1.0
leverage,2,78768.39904298334,78768.39904296759,78768.39904300934,280.65708443398205,280.657084433954,280.6570844340284,0.9969936460701656,1.0
leverage,3,107406.49490518076,107406.49489472073,107406.49491499235,327.72930126124027,327.72930124528193,327.7293012762093,0.9948365916798492,1.0
leverage,4,71629.5986603311,71629.40344698253,71629.78469851798,267.6370651840492,267.6367004859059,267.6374127406665,0.9926240695183166,1.0
leverage,5,42598.34839286278,42598.07321996467,42598.62162516541,206.3936733353582,206.39300671283556,206.3943352545447,0.9325751115511475,1.0
leverage,6,49382.12021804837,49381.815126968664,49382.41267078762,222.22088159767597,222.2201951375448,222.2215396193349,0.9221557141674476,1.0
leverage,7,56089.30153935972,56088.97014270876,56089.6000003799,236.8318001015903,236.83110045496295,236.83243021254418,0.9162029034350229,1.0
leverage,8,62545.2454557485,62544.935270681715,62545.63381508242,250.09047454021214,250.08985439373924,250.09125097668337,0.9092111652461858,1.0
leverage,9,43860.649903471174,43860.2373261932,43860.98653343649,209.42934346330537,209.42835845747632,209.4301471456179,0.8785126456906637,1.0
leverage,10,47605.515243206886,47604.48549967493,47606.29850393489,218.18688146450359,218.18452167758124,218.18867638796337,0.8252829867751765,1.0
leverage,11,20964.169903335813,20963.06898170324,20965.203206067832,144.7900891060398,144.78628727094022,144.7936573405992,0.6299173789328245,1.0
leverage,12,1.3070235315723582,1.2776027359610065,1.3313152996987172,1.1432512978103382,1.1303108883950483,1.1538263686828816,0.020668032190857926,1.0
leverage,13,1.2769532779287442,1.2543632345677027,1.2971517462119069,1.1300235671348353,1.1199835804127314,1.1389256970303023,0.017042617774107108,1.0
leverage,14,1.2773709913084894,1.2548861544582528,1.2976154122034953,1.1302083727568948,1.1202170046529978,1.1391292325973186,0.016639108328841426,1.0
leverage,15,1.2778588288568375,1.2553675660585621,1.2981079570018248,1.13042416971194,1.1204318583605162,1.1393454056578336,0.01656917710343403,1.0
leverage,16,1.2783478464617666,1.2558435376533064,1.2985977529857138,1.130640447442683,1.1206442436409023,1.1395603314784009,0.01652762474928994,1.0
leverage,17,1.278834396669294,1.2563236822571895,1.2990889951266689,1.1308555927574506,1.1208584502620038,1.1397758513229195,0.01642865687486056,1.0
leverage,18,1.2778622560051434,1.254902243139416,1.2983315512680105,1.130425696105291,1.1202241930662586,1.1394435265902936,0.016510401536672055,1.0
leverage,19,1.2781287359978117,1.2550171420928777,1.2989414419917873,1.1305435573990885,1.1202754742000218,1.1397111207532156,0.01632507091171656,1.0
leverage,20,1.237912470172426,1.2150564392228715,1.2579251623103334,1.1126151483459874,1.1022959557412688,1.1215726290748598,0.01567996212133836,1.0
leverage,21,1.2382122742613735,1.2156262586375428,1.258541087333176,1.11274986937175,1.102554385200419,1.1218471757761748,0.015343443493247183,1.0
leverage,22,1.2219552995295215,1.1999873230940796,1.2374097740100065,1.1054208695580674,1.0954393261390893,1.1123892168119518,0.01489903269101438,1.0
leverage,23,1.2145956062476948,1.1936930176786238,1.2316884738217082,1.1020869305578809,1.0925625882854082,1.1098146094528794,0.014948646872530245,1.0
leverage,24,1.2050142331920908,1.1872139912270085,1.219973590279399,1.0977314027122818,1.0895934622006567,1.104524146254703,0.01416609112252484,1.0
leverage,25,1.1991168179727176,1.1855577176139764,1.2149313317521802,1.0950419216722822,1.088833146859666,1.1022392351959895,0.012567465136235505,1.0
leverage,26,1.1993026743452337,1.1857832560309478,1.2151867774018976,1.0951267816217274,1.088936708705045,1.1023551046899625,0.012469854842946937,1.0
leverage,27,1.199493627341689,1.1859767810482662,1.2153774215858193,1.0952139611780387,1.0890255645382678,1.102441572591288,0.012469428283706646,1.0
leverage,28,1.1996856375085527,1.1861678131071387,1.2155710367846964,1.0953016164162892,1.0891132687842981,1.1025293810945187,0.012420767201752787,1.0
leverage,29,1.199877496251048,1.1863586946952656,1.2157644991527938,1.0953891955212092,1.0892008968943305,1.1026171133013452,0.012333569775201707,1.0
leverage,30,1.1999240619182092,1.1858197110614552,1.2147741313806237,1.0954104481430704,1.0889534877364477,1.1021679225286618,0.012485401397870854,1.0
leverage,31,1.200028480508217,1.1862022564019679,1.2148561310659962,1.0954581137766453,1.089129125887341,1.1022051218280497,0.012456781286807415,1.0
leverage,32,1.1818570373270882,1.168682663143886,1.1961288096316913,1.0871324832009952,1.0810562719577876,1.0936767386879362,0.011582328389259955,1.0
leverage,33,1.1819958440850264,1.1684444010142534,1.1961654451685013,1.0871963183631905,1.0809460675396683,1.0936934874366766,0.011494194572071735,1.0
leverage,34,1.1775141221443004,1.163574004526119,1.1912088276942385,1.085133227624587,1.0786908752922095,1.091425135984524,0.010978605598355319,1.0
leverage,35,1.169491579942692,1.1569243296268021,1.1835611393063732,1.0814303395377651,1.0756041693319545,1.0879159578734272,0.010967315602916188,1.0
leverage,36,1.1674977931340784,1.1531615586898127,1.1813636066682438,1.0805081178021756,1.073853600368766,1.0869055185239587,0.010585601083702581,1.0
leverage,37,1.1627873698827598,1.1500858040347832,1.175139882092699,1.0783261881403077,1.0724205294773976,1.084038689017363,0.009860867459024685,1.0
leverage,38,1.1608281249580537,1.1488034623391585,1.1721042742215946,1.077417325734954,1.071822490704508,1.0826376395212145,0.00938361089253386,1.0
leverage,39,1.1609760105840758,1.1489257889910713,1.1722560320170061,1.0774859542519413,1.0718795532762009,1.082707725183043,0.00924835091866487,1.0
leverage,40,1.161082426486551,1.1490319358582182,1.1723632787580303,1.0775353346920622,1.0719290664924574,1.0827572511482333,0.009250074588500558,1.0
leverage,41,1.1611887826319647,1.1491380231613122,1.1724704652202942,1.0775846851420017,1.0719785496394731,1.0828067470136848,0.00924227233957449,1.0
