policy,t,median_risk_ratio,q10_risk_ratio,q90_risk_ratio,median_tail_margin_ratio,q10_tail_margin_ratio,q90_tail_margin_ratio,median_lme_error,empirical_ucb_coverage
uniform,1,42864.93376481184,42338.95442481564,46032.678469053106,207.03848322753288,205.76431766660252,214.5520574187743,0.8898795954067575,1.0
uniform,2,65145.655186796255,58466.00373015839,68649.17121034951,255.23646875047746,241.79741958016376,262.00980955117967,0.7625268393986763,1.0
uniform,3,85868.39521609672,66784.51715387712,91711.00438315247,293.03289853706366,258.4265220738059,302.83815090464526,0.6776752310151611,1.0
uniform,4,102762.4824273953,81595.63423980883,113779.55783727246,320.5658226566238,285.6494644361084,337.31224037941996,0.6281668808220414,1.0
uniform,5,119090.46419410108,99295.56870869498,131908.482842713,345.09484101379246,315.10903495032477,363.192038414623,0.6002218567399109,1.0
uniform,6,133633.954119678,110181.81438699858,151264.751619654,365.55977679286184,331.9359731217643,388.927669622386,0.598133884387268,1.0
uniform,7,141604.9253111463,114564.0161707767,164739.72419934542,376.3042838890207,338.4664675841352,405.88126254765206,0.5956418769935565,1.0
uniform,8,149453.0877618702,124696.09638573635,173173.381813928,386.5915331785506,353.1233337102025,416.1410482999138,0.5779951129828335,1.0
uniform,9,155704.69981667947,132252.22605226166,178406.7007313568,394.5940560389337,363.6646700982718,422.3814495499149,0.4563427035195036,1.0
uniform,10,162784.36207360832,132018.9766715754,184943.05940488598,403.4654176582591,363.34271714230954,430.0497843819655,0.3804085663785282,1.0
uniform,11,167629.5005688589,140703.70462291274,191237.19466408156,409.4256106478507,375.10489523359365,437.3060099924595,0.26720556503669896,1.0
uniform,12,170492.93163413036,141254.37319979945,198050.866052199,412.90783402274934,375.83813391013064,445.02902083280884,0.25207716821671944,1.0
uniform,13,171783.44280397095,141880.11255314475,199359.37101314098,414.4676531618556,376.6696472401843,446.49607201951096,0.2519186121890806,1.0
uniform,14,176582.49945152557,145521.2372063749,203439.71341687682,420.21645702163335,381.46930501160887,451.0429146409003,0.2149438923937655,1.0
uniform,15,178374.07847065636,148804.81081886892,204467.92745016262,422.3434969555268,385.75152102817657,452.180421351853,0.1973451982276327,1.0
uniform,16,179037.74442195625,149306.82630879883,207439.21034933047,423.1285188357258,386.40182266439683,455.4549447622033,0.19938645757630344,1.0
uniform,17,181997.58062233197,144948.2009761414,207715.34838491335,426.61173753311016,380.3828240310905,455.75796603528977,0.19878658884233616,1.0
uniform,18,183640.23892328044,145420.34384828477,210758.99076003436,428.5323806123358,381.0005672752711,459.08494071454726,0.19961686802754983,1.0
uniform,19,185782.87309704834,114123.28504053343,211281.85494452264,431.025223269834,337.819025346601,459.65406002246334,0.1918349791414291,1.0
uniform,20,187137.69378544932,109628.50692065895,212640.70566522822,432.59383661630795,330.96218268831825,461.1298142834977,0.17982115187560987,1.0
uniform,21,189495.38747683013,90991.36777790725,214840.5854970745,435.31035603272255,301.64028044304473,463.50894249560423,0.18067601511925582,1.0
uniform,22,192419.82850070653,87385.73392176497,216058.82294683758,438.6560737072356,295.6106888107591,464.8211284650323,0.16211471079062956,1.0
uniform,23,192915.25067603897,87531.77835864079,217696.13364450113,439.21976211290007,295.8575801904834,466.57895527042126,0.15933919852291228,1.0
uniform,24,195028.30742479625,87703.41069768215,219685.59193365613,441.619916450526,296.1474408327376,468.704132018259,0.15565708437725648,1.0
uniform,25,198150.9423103914,86632.36609062801,221610.45185025135,445.14014047125295,294.3189679346167,470.7544125331875,0.15106831479050548,1.0
uniform,26,201624.15557551902,79137.08886189602,224711.82272946305,449.0257271263464,272.7329678967741,474.0358648616417,0.15164197472414448,1.0
uniform,27,202418.21632879408,79186.39801112887,234470.8272210414,449.90853735002656,272.8177531014723,484.22186950071125,0.15206345380260905,1.0
uniform,28,204765.04639244877,79402.20785157528,235157.14123715847,452.50895390950916,273.1921937148286,484.9299587899362,0.15419779246515958,1.0
uniform,29,206612.0301869532,79468.82337980389,236731.63875448442,454.5457822565247,273.30771390128984,486.55070080811475,0.14474422610580662,1.0
uniform,30,206872.55069926011,79596.65752437295,238886.07699219807,454.8321744537778,273.5244973793984,488.7596325050016,0.1418325508144721,1.0
uniform,31,209085.17824364937,79632.12391084299,240114.7147955997,457.2581829722756,273.5915871323757,490.01472493518037,0.1422675830889245,1.0
uniform,32,209697.76220582583,79673.18616059853,242048.58691815316,457.9276487939241,273.67014089680646,491.98428607294295,0.14191176472454667,1.0
uniform,33,210302.22744315397,4355.026019835261,242266.82345178723,458.58710037053635,65.98445647925263,492.2060003251995,0.1415318841376687,1.0
uniform,34,210123.49105597794,3937.1597913439487,242465.78613461708,458.39213738204626,62.74475086039189,492.4080600651535,0.14144472973492106,1.0
uniform,35,211710.81669065493,3854.6276960297537,244054.1567565349,460.12040531566436,62.085021488632826,494.0183768308319,0.13683935412798792,1.0
uniform,36,211919.19898296235,3859.233512421943,244308.40150525255,460.3467751245387,62.122399771652795,494.2756005047379,0.13222931593165332,1.0
uniform,37,212330.24600847604,3862.430375329793,244719.95197616378,460.79306200076496,62.14811061648501,494.69176622407133,0.13087472933476602,1.0
uniform,38,212611.89847343415,3761.554345913482,244871.7084166202,461.0985593127997,61.328217640294454,494.8451266657669,0.1298844749285381,1.0
uniform,39,213232.88258293807,3526.4310300816924,245601.767000135,461.7714152574653,59.38352729612743,495.58224907507247,0.12800176836372046,1.0
uniform,40,213699.7130864711,3271.91441782126,245598.6110512697,462.2766382876467,56.878898747887206,495.57906576373176,0.12678650024388213,1.0
uniform,41,213895.63321130158,1497.0149614306042,246366.17636951918,462.48851739533654,38.69122720577496,496.3528743969352,0.12777564991427381,1.0
uniform,42,214253.26606744295,1484.232440057662,246568.8321574897,462.87495824486837,38.52567920430115,496.55695145649247,0.12726899883888834,1.0
uniform,43,214655.5372050074,1485.46854905399,247385.42482264526,463.30931886637495,38.54171946045342,497.37852959154327,0.1225822135254762,1.0
uniform,44,215348.75021830157,1486.1756593529808,247693.4418443134,464.0567063144572,38.550903478104736,497.6880831427561,0.12284733820937122,1.0
uniform,45,216370.6528317623,1499.8237287759312,248174.3718093732,465.15658791266077,38.72752704208362,498.1710260817089,0.12017325219067562,1.0
uniform,46,217033.403607541,1500.3289462794628,248939.55872026485,465.8684366637324,38.73404992893188,498.9383186341071,0.11849041271852898,1.0
uniform,47,217156.5623454,1504.623143236468,250139.59382288618,466.0006033084241,38.789420413512936,500.1395437230494,0.11855273916341585,1.0
