bus,bus_id,marginal_emissions,projected_marginal_emissions,demand_std_mw
1,1,0.5870780662156139,0.5870780662155515,0.9
2,2,0.5843534802288674,0.5843534802288143,0.56
3,3,0.5860219350641269,0.5860219350640746,0.2
4,4,0.5814802604072372,0.581480260407172,0.0025
5,5,0.5872033125380702,0.5872033125380046,3.5300000000000002
6,6,0.584915747028748,0.5849157470286911,1.2
7,7,0.5873225232087151,0.5873225232086612,0.0025
8,8,0.581695873638743,0.5816958736386837,0.63
9,9,0.5877250831010338,0.5877250831009747,0.96
10,10,0.5898393703171715,0.5898393703171092,1.53
11,11,0.5882139331343645,0.5882139331343165,0.8300000000000001
12,12,0.5908073272911839,0.5908073272911353,0.0025
13,13,0.5919294160275484,0.5919294160274883,0.58
14,14,0.5725668700191244,0.5725668700190607,1.6
15,15,0.5633103531570074,0.5633103531569538,1.2670000000000001
16,16,0.5640306683043947,0.5640306683043395,0.0025
17,17,0.5633103531570001,0.5633103531569537,5.61
18,18,0.6061145687884988,0.6061145687884284,0.0025
19,19,0.5955596255428468,0.5955596255427834,6.05
20,20,0.5969253193206414,0.5969253193205695,0.77
21,21,0.5957390230645256,0.595739023064458,0.81
22,22,0.5963348218265945,0.5963348218265279,0.21
23,23,0.5967186099230755,0.5967186099230142,0.0025
24,24,0.5962578473448985,0.5962578473448386,0.45
25,25,0.5961154777925196,0.5961154777924567,0.28
26,26,0.5958971465464742,0.5958971465464041,0.6900000000000001
27,27,0.5507984463287063,0.5507984463286559,0.55
28,28,0.5450444153911846,0.545044415391111,0.0025
29,29,0.7504143868771521,0.7504143868771358,0.0025
30,30,0.7689680809794954,0.7689680809794951,0.0025
31,31,0.5509924749752124,0.550992474975173,0.85
32,32,0.5523163523557861,0.5523163523557194,1.55
33,33,0.5443023280678596,0.5443023280678169,0.0025
34,34,0.5499063098974657,0.549906309897435,0.46
35,35,0.5507809632543965,0.5507809632543417,0.86
36,36,0.5443023280678772,0.5443023280678168,0.0025
37,37,0.5709096895041067,0.5709096895040554,0.39
38,38,0.581683132875809,0.5816831328757306,1.95
39,39,0.5732530285916762,0.5732530285916078,0.0025
40,40,0.5271005077043707,0.5271005077043056,0.0025
41,41,0.6250360606700794,0.6250360606700103,0.58
42,42,0.5428297197821526,0.5428297197820936,0.41000000000000003
43,43,0.5564289035086903,0.5564289035088344,0.92
44,44,0.5658909236971634,0.5658909236971568,0.05
45,45,0.595331665515765,0.5953316655157942,0.61
46,46,0.5774357120098348,0.5774357120097767,0.6900000000000001
47,47,0.5897189379315546,0.5897189379315066,0.1
48,48,0.6169139789859296,0.6169139789859186,0.22
49,49,0.7098186765366045,0.7098186765365804,0.98
50,50,0.7888885938512318,0.7888885938512185,0.14
51,51,0.8105151890050332,0.8105151890050237,2.18
52,52,0.5397519623902177,0.5397519623901033,0.0025
53,53,0.8204000000000342,0.8204000000000236,2.27
54,54,0.5172999999999304,0.5172999999999304,0.0025
55,55,0.5556809783609307,0.5556809783609281,0.7000000000000001
56,56,0.5456528136264406,0.5456528136264369,0.0025
57,57,0.7639017255753443,0.7639017255753434,0.0025
58,58,0.7327341718672026,0.7327341718671923,0.56
59,59,0.7327341718672021,0.732734171867193,1.16
60,60,0.7463353608266386,0.746335360826631,0.57
61,61,0.7220499345801323,0.7220499345801196,2.24
62,62,0.7158985613740098,0.7158985613739928,0.0025
63,63,0.7455950474423073,0.7455950474422905,2.08
64,64,0.7491629141648602,0.749162914164842,0.74
65,65,0.7481878288960272,0.7481878288960099,0.0025
66,66,0.74445040132998,0.744450401329976,0.48
67,67,0.7654412113685373,0.7654412113685332,0.28
68,68,0.8341173930190505,0.8341173930190883,0.0025
69,69,0.8204000000000008,0.8203999999999987,0.37
70,70,0.502533211238047,0.5025332112379769,0.0025
71,71,0.4818872161633609,0.4818872161633038,0.0025
72,72,0.4325964575840985,0.43259645758408644,0.0025
73,73,0.7798605176274429,0.779860517627455,0.0025
74,74,0.5272828472048806,0.52728284720482,0.44200000000000006
75,75,0.5456324635044839,0.5456324635044383,0.66
76,76,0.498987972923048,0.4989879729230013,0.174
77,77,0.5307673348940011,0.5307673348939552,0.158
78,78,0.4450300166288591,0.4450300166288361,0.603
79,79,0.49721971889377964,0.4972197188937363,0.399
80,80,0.4929871768224001,0.49298717682236176,0.667
81,81,0.5177794845239669,0.5177794845238909,0.835
82,82,0.49372664555864143,0.4937266455586009,0.0025
83,83,0.49166470567712217,0.4916647056770747,0.778
84,84,0.5215095935127909,0.5215095935127444,0.32
85,85,0.5005726291095596,0.5005726291094935,0.086
86,86,0.5289171182752772,0.5289171182752253,0.49600000000000005
87,87,0.5327816611130306,0.5327816611129734,0.046
88,88,0.5172999999994287,0.517299999999353,1.121
89,89,0.5694966080598262,0.5694966080597674,0.307
90,90,0.5504557559674154,0.5504557559673541,0.63
91,91,0.6093415152344996,0.6093415152344551,0.196
92,92,0.6083217398244692,0.6083217398244122,0.262
93,93,0.6156828303497717,0.6156828303497306,0.182
94,94,1.9606770578437416,1.9606770578437178,0.0025
95,95,0.6685508873046025,0.6685508873045988,0.0025
96,96,0.6560843212088961,0.6560843212088893,0.0025
97,97,0.623640939615298,0.6236409396152865,0.141
98,98,-1.169821857731688e-14,-2.5091040356528538e-14,0.0025
99,99,0.20657433792460259,0.2065743379245969,7.7700000000000005
100,100,2.5870654149411823,2.587065414941164,5.3500000000000005
101,101,1.5009246414723352,1.5009246414723232,2.291
102,102,1.0150710294269032,1.0150710294268885,0.78
103,103,0.7519935216210399,0.7519935216210326,2.764
104,104,1.0695722912148922,1.0695722912148846,5.148
105,105,1.054716674165357,1.0547166741653522,0.579
106,106,0.8821041739833578,0.8821041739833477,3.8080000000000003
107,107,0.7734244514762182,0.7734244514761988,0.0025
108,108,0.7815028187116797,0.7815028187116573,0.0025
109,109,0.5902345633482826,0.5902345633482318,0.0025
110,110,0.5881498073392755,0.5881498073392224,0.0025
111,111,0.46481790678158175,0.4648179067815289,0.0025
112,112,0.7828944781352205,0.7828944781352054,0.0025
113,113,0.8665855958948273,0.8665855958948155,0.0025
114,114,0.8530494425733374,0.8530494425733267,1.692
115,115,0.8242734872147084,0.824273487214699,0.552
116,116,0.7920615385635065,0.7920615385635038,2.736
117,117,0.7920615385635067,0.7920615385635038,10.192
118,118,0.7960531154852272,0.7960531154852339,5.95
119,119,0.7957154716865973,0.7957154716866068,3.877
120,120,0.799573446571546,0.799573446571562,1.45
121,121,0.811863558521146,0.8118635585211919,0.565
122,122,0.8204000000010095,0.8204000000010763,0.895
123,123,0.5150495306382402,0.5150495306382349,0.0025
124,124,0.8128822093929836,0.8128822093930325,0.24
125,125,0.8070589784369859,0.8070589784370186,0.0025
126,126,0.8056265870135826,0.8056265870136123,0.0025
127,127,0.8189085778213894,0.8189085778214507,0.63
128,128,0.8175784071595659,0.8175784071596244,0.0025
129,129,0.5874451202952621,0.5874451202952075,0.0025
130,130,0.5684782038144801,0.5684782038144299,0.0025
131,131,0.8203999999990325,0.8203999999990228,0.17
132,132,0.8108962173937007,0.8108962173936934,0.0025
133,133,0.8072184540600518,0.8072184540600404,0.7000000000000001
134,134,0.8030926117194703,0.8030926117194619,2.0
135,135,0.8033339006098013,0.8033339006097925,0.75
136,136,1.1220091838329973,1.122009183832988,1.235
137,137,0.940195493659115,0.940195493659113,0.0025
138,138,0.943582595022928,0.9435825950229152,0.33
139,139,0.8393340748108117,0.8393340748107988,0.0025
140,140,0.8082724430206797,0.8082724430206697,0.35000000000000003
141,141,0.8008412513699814,0.8008412513699735,0.85
142,142,0.7958026700870376,0.7958026700870297,0.0025
143,143,0.800841251369982,0.8008412513699733,0.0025
144,144,0.800841251369982,0.8008412513699716,0.0025
145,145,0.800841251369982,0.8008412513699716,0.0025
146,146,0.7514150789870769,0.7514150789870476,2.9989999999999997
147,147,0.7738244130938104,0.7738244130937975,0.0025
148,148,0.7876051128692153,0.7876051128691947,0.0025
149,149,0.5172999999989751,0.5172999999989237,4.8180000000000005
150,150,0.7828944781352205,0.7828944781352054,7.636
151,151,0.7996863587623141,0.7996863587623281,0.265
152,152,0.805816517491473,0.8058165174915038,1.635
153,153,0.8003424078059563,0.8003424078059729,0.0025
154,154,0.8114644131502251,0.8114644131502694,1.76
155,155,0.8117951726437327,0.8117951726437782,0.05
156,156,0.8128284893828147,0.8128284893828639,0.28
157,157,0.8138620232443619,0.8138620232444105,4.274
158,158,0.8142651871703527,0.8142651871704014,0.74
159,159,0.8132501935994294,0.8132501935994783,0.6950000000000001
160,160,0.7920615385635063,0.7920615385635038,0.7340000000000001
