bus,source,absolute_source,binding_endpoint
1,-7.114309141798003e-13,7.114309141798003e-13,false
2,-3.907985046680551e-13,3.907985046680551e-13,false
3,-2.8066438062523957e-12,2.8066438062523957e-12,false
4,2.901678897160309e-12,2.901678897160309e-12,false
5,1.3877787807814457e-12,1.3877787807814457e-12,false
6,2.55351295663786e-13,2.55351295663786e-13,false
7,8.171241461241152e-14,8.171241461241152e-14,false
8,3.4861002973229915e-13,3.4861002973229915e-13,false
9,1.5853984791647235e-13,1.5853984791647235e-13,false
10,3.523847880160247e-13,3.523847880160247e-13,false
11,-1.6679990721968352e-12,1.6679990721968352e-12,false
12,-2.2528645615693677e-12,2.2528645615693677e-12,false
13,2.62456723021387e-13,2.62456723021387e-13,false
14,2.2071233729548112e-13,2.2071233729548112e-13,false
15,2.8754776337791554e-14,2.8754776337791554e-14,false
16,-6.643574579356937e-13,6.643574579356937e-13,false
17,-6.128431095930864e-13,6.128431095930864e-13,false
19,-6.679101716144942e-13,6.679101716144942e-13,false
20,2.161826273550105e-12,2.161826273550105e-12,false
21,1.6497914145929826e-13,1.6497914145929826e-13,false
22,1.9539925233402755e-13,1.9539925233402755e-13,false
23,-3.708144902248023e-13,3.708144902248023e-13,false
24,-1.5210055437364645e-13,1.5210055437364645e-13,false
25,-1.3988810110276972e-14,1.3988810110276972e-14,false
26,9.103828801926284e-14,9.103828801926284e-14,false
27,-1.2163603457793215e-12,1.2163603457793215e-12,false
28,1.971756091734278e-12,1.971756091734278e-12,false
29,3.168576512280197e-13,3.168576512280197e-13,false
30,1.1546319456101628e-14,1.1546319456101628e-14,false
31,2.432898327242583e-11,2.432898327242583e-11,false
32,2.5277557824665564e-12,2.5277557824665564e-12,false
33,-2.716937785862683e-12,2.716937785862683e-12,false
34,-9.124923039394162e-13,9.124923039394162e-13,false
35,1.495914503379936e-12,1.495914503379936e-12,false
36,9.894307595459395e-13,9.894307595459395e-13,false
37,-6.67021993194794e-13,6.67021993194794e-13,false
38,1.3251622021925868e-12,1.3251622021925868e-12,false
39,-4.052869151394134e-13,4.052869151394134e-13,false
41,3.126388037344441e-13,3.126388037344441e-13,false
42,1.9984014443252818e-13,1.9984014443252818e-13,false
43,-1.319477860306506e-11,1.319477860306506e-11,false
44,1.2537748617091893e-12,1.2537748617091893e-12,false
45,-7.425171588693047e-13,7.425171588693047e-13,false
46,2.502442697505103e-13,2.502442697505103e-13,false
47,-1.1479706074624119e-13,1.1479706074624119e-13,false
49,3.0375701953744283e-13,3.0375701953744283e-13,false
50,-3.9968028886505635e-14,3.9968028886505635e-14,false
51,-4.973799150320701e-14,4.973799150320701e-14,false
55,5.773159728050814e-15,5.773159728050814e-15,false
