case_name,ridge,uncertainty_scale,load_forecast_std_percent,certificate_available,median_risk_ratio,median_threshold,empirical_quantile,known_risk_threshold
pglib_opf_case57_ieee,1.0e-8,0.2,0.2,true,1.124707103117525,1.1513021827186458,0.6944506003046518,1.0669320936760769
pglib_opf_case57_ieee,1.0e-8,0.3,0.3,true,1.124707103117525,1.7954619393328541,1.0416759004569776,1.6588132675649057
pglib_opf_case57_ieee,1.0e-8,0.4,0.4,true,1.124707103117525,3.069512562356001,1.4019037922195352,2.673438912292542
pglib_opf_case57_ieee,1.0e-8,0.5,0.5,false,1.124707103117525,NaN,1.7789152600390878,NaN
pglib_opf_case57_ieee,1.0e-8,0.7,0.7,false,1.124707103117525,NaN,2.5730229131632907,NaN
pglib_opf_case57_ieee,1.0e-8,1.0,1.0,false,1.124707103117525,NaN,3.7693610390900956,NaN
pglib_opf_case57_ieee,1.0e-6,0.2,0.2,true,1.1433950489411049,1.1608276995050213,0.6944506003046518,1.0669320936760769
pglib_opf_case57_ieee,1.0e-6,0.3,0.3,true,1.1433950489411049,1.8103170339371462,1.0416759004569776,1.6588132675649057
pglib_opf_case57_ieee,1.0e-6,0.4,0.4,true,1.1433950489411049,3.094908756228985,1.4019037922195352,2.673438912292542
pglib_opf_case57_ieee,1.0e-6,0.5,0.5,false,1.1433950489411049,NaN,1.7789152600390878,NaN
pglib_opf_case57_ieee,1.0e-6,0.7,0.7,false,1.1433950489411049,NaN,2.5730229131632907,NaN
pglib_opf_case57_ieee,1.0e-6,1.0,1.0,false,1.1433950489411049,NaN,3.7693610390900956,NaN
pglib_opf_case57_ieee,0.0001,0.2,0.2,true,1.4720782605336553,1.317149460934918,0.6944506003046518,1.0669320936760769
pglib_opf_case57_ieee,0.0001,0.3,0.3,true,1.4720782605336553,2.0541016607273828,1.0416759004569776,1.6588132675649057
pglib_opf_case57_ieee,0.0001,0.4,0.4,true,1.4720782605336553,3.511681709221767,1.4019037922195352,2.673438912292542
pglib_opf_case57_ieee,0.0001,0.5,0.5,false,1.4720782605336553,NaN,1.7789152600390878,NaN
pglib_opf_case57_ieee,0.0001,0.7,0.7,false,1.4720782605336553,NaN,2.5730229131632907,NaN
pglib_opf_case57_ieee,0.0001,1.0,1.0,false,1.4720782605336553,NaN,3.7693610390900956,NaN
pglib_opf_case57_ieee,0.01,0.2,0.2,true,7.368920408948208,2.946941685260067,0.6944506003046518,1.0669320936760769
pglib_opf_case57_ieee,0.01,0.3,0.3,true,7.368920408948208,4.595771390638378,1.0416759004569776,1.6588132675649057
pglib_opf_case57_ieee,0.01,0.4,0.4,true,7.368920408948208,7.856907299590272,1.4019037922195352,2.673438912292542
pglib_opf_case57_ieee,0.01,0.5,0.5,false,7.368920408948208,NaN,1.7789152600390878,NaN
pglib_opf_case57_ieee,0.01,0.7,0.7,false,7.368920408948208,NaN,2.5730229131632907,NaN
pglib_opf_case57_ieee,0.01,1.0,1.0,false,7.368920408948208,NaN,3.7693610390900956,NaN
pglib_opf_case57_ieee,0.1,0.2,0.2,true,32.603374601921885,6.198703815499743,0.6944506003046518,1.0669320936760769
pglib_opf_case57_ieee,0.1,0.3,0.3,true,32.603374601921885,9.666911902873512,1.0416759004569776,1.6588132675649057
pglib_opf_case57_ieee,0.1,0.4,0.4,true,32.603374601921885,16.526503221830804,1.4019037922195352,2.673438912292542
pglib_opf_case57_ieee,0.1,0.5,0.5,false,32.603374601921885,NaN,1.7789152600390878,NaN
pglib_opf_case57_ieee,0.1,0.7,0.7,false,32.603374601921885,NaN,2.5730229131632907,NaN
pglib_opf_case57_ieee,0.1,1.0,1.0,false,32.603374601921885,NaN,3.7693610390900956,NaN
pglib_opf_case57_ieee,1.0,0.2,0.2,true,105.57734928215733,11.154625296439264,0.6944506003046518,1.0669320936760769
pglib_opf_case57_ieee,1.0,0.3,0.3,true,105.57734928215733,17.395698078139148,1.0416759004569776,1.6588132675649057
pglib_opf_case57_ieee,1.0,0.4,0.4,true,105.57734928215733,29.739596597431024,1.4019037922195352,2.673438912292542
pglib_opf_case57_ieee,1.0,0.5,0.5,false,105.57734928215733,NaN,1.7789152600390878,NaN
pglib_opf_case57_ieee,1.0,0.7,0.7,false,105.57734928215733,NaN,2.5730229131632907,NaN
pglib_opf_case57_ieee,1.0,1.0,1.0,false,105.57734928215733,NaN,3.7693610390900956,NaN
