case_name,included,exclusion_reason,buses,branches,generators,line_limit_scale,active_lines,active_generator_constraints,feature_rank,experiments_for_exact_recovery,full_coordinate_experiments,experiment_reduction,noiseless_recovery_error,nominal_carbon_tph,carbon_risk_sd_tph,closest_kappa,switch_bound,empirical_switch,kkt_condition,runtime_seconds,case_short
pglib_opf_case14_ieee,true,,14,20,5,0.6,1,6,2,2,14,7.0,1.7992904827149165e-15,133.98070569030853,0.5947314094962128,7.860832558288843,3.818459416599607e-14,0.0,515.6763802342415,21.117999792099,14
pglib_opf_case30_ieee,true,,30,41,6,1.0,1,8,2,2,30,15.0,7.826281639580891e-15,146.60283086310372,0.5622730355278337,26.654881550592865,5.2558102346354586e-155,0.0,42.49933715325715,0.2590000629425049,30
pglib_opf_case57_ieee,true,,57,80,7,0.9,1,8,2,2,57,28.5,4.591854281820049e-14,1009.1397492288055,2.1775799968297544,0.6956912920215166,0.785061526238426,0.236,117.96657176041005,0.41500020027160645,57
pglib_opf_case118_ieee,true,,118,186,54,1.0,3,85,4,4,118,29.5,6.688472415369762e-15,3093.0803306058806,3.767526572128556,1.5516639469857159,0.4356849522557009,0.0795,6252.397719594937,1.5329999923706055,118
pglib_opf_case162_ieee_dtc,true,,162,284,12,1.0,7,4,8,8,162,20.25,9.100788620415353e-15,3319.2150622251925,13.580694042915283,3.121263458763217,0.0076646012552505265,0.0,7624.441410432515,1.0960001945495605,162
pglib_opf_case179_goc,true,,179,263,29,1.0,4,24,5,5,179,35.8,1.1471775007653408e-14,15795.609008642274,14.200797136745436,1.1173792363464972,0.5962526309015989,0.143,1033.4045084309437,1.0820000171661377,179
pglib_opf_case240_pserc,true,,240,448,143,1.0,13,131,12,12,240,20.0,5.075681491708923e-14,101623.454416307,187.531053293899,1.4371698531886694,0.9077080804620499,0.1655,456558.3408873963,6.052000045776367,240
pglib_opf_case300_ieee,true,,300,411,69,1.0,11,69,12,12,300,25.0,1.2018529364801177e-13,14047.084044775987,26.022877224956645,0.7908416368202947,0.7314597521498941,0.222,17713.64710338602,2.1630001068115234,300
pglib_opf_case588_sdet,true,,588,686,95,1.0,11,83,12,12,588,49.0,1.198181183872299e-13,5784.086136933754,13.607860325630147,0.21056883509810878,1.0,NaN,61731.15260002919,0.5130000114440918,588
pglib_opf_case1354_pegase,true,,1354,1991,260,1.0,14,245,15,15,1354,90.26666666666667,2.4223003896577204e-14,41483.19272595912,29.691526353046807,2.3586302288404846,0.06194174404962949,NaN,138447.58475201935,2.139000177383423,1354
